repo_id,repo_name,full_name,language,created_at,updated_at,pushed_at,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,size_kb,archived,disabled,is_fork
955815724,s3-thumbnail-gallery,Anamika1608/s3-thumbnail-gallery,TypeScript,2025-03-27T08:41:53Z,2025-03-28T15:36:10Z,2025-03-27T13:59:10Z,main,0,0,0,0,101,false,false,false
955095948,care_fe,Anamika1608/care_fe,TypeScript,2025-03-26T05:18:03Z,2025-03-26T05:26:18Z,2025-03-26T05:26:13Z,develop,0,0,0,0,47776,false,false,true
953821966,www-v2,Anamika1608/www-v2,TypeScript,2025-03-24T06:10:42Z,2025-05-25T11:45:01Z,2025-03-26T04:26:20Z,main,0,0,0,0,68123,false,false,true
952032139,reel-extension,Anamika1608/reel-extension,TypeScript,2025-03-20T16:14:52Z,2025-03-31T16:26:20Z,2025-03-20T18:15:20Z,main,0,0,0,0,160,false,false,false
949126158,detoxie-app,Anamika1608/detoxie-app,TypeScript,2025-03-15T18:29:17Z,2025-03-20T01:45:59Z,2025-03-19T04:02:56Z,main,0,0,0,0,456,false,false,false
949409496,DTU-Hack,Anamika1608/DTU-Hack,TypeScript,2025-03-16T11:56:46Z,2025-03-16T12:09:51Z,2025-03-16T12:09:47Z,main,0,0,0,0,5287,false,false,false
941985611,SpaceX-App,Anamika1608/SpaceX-App,TypeScript,2025-03-03T11:38:58Z,2025-03-03T14:47:56Z,2025-03-03T14:47:52Z,main,0,0,0,0,373,false,false,false
937286070,NIT-HACK,Anamika1608/NIT-HACK,TypeScript,2025-02-22T19:18:04Z,2025-02-27T17:24:36Z,2025-02-27T17:24:33Z,main,0,0,0,0,5292,false,false,false
911241899,Connect-Me,Anamika1608/Connect-Me,JavaScript,2025-01-02T15:05:55Z,2025-01-26T18:34:16Z,2025-01-26T18:34:12Z,main,0,0,0,0,115,false,false,false
876246014,dashboard,Anamika1608/dashboard,HTML,2024-10-21T16:35:59Z,2025-01-09T05:41:35Z,2025-01-09T05:41:31Z,main,0,0,0,0,1903,false,false,false
908566797,Calculator-react-native,Anamika1608/Calculator-react-native,JavaScript,2024-12-26T11:40:35Z,2025-01-09T05:30:41Z,2025-01-06T08:34:03Z,main,0,0,0,0,263,false,false,false
868358183,user_Auth_Anamika,Anamika1608/user_Auth_Anamika,JavaScript,2024-10-06T07:05:52Z,2025-05-05T11:50:00Z,2025-01-06T08:33:37Z,main,0,0,0,0,17260,false,false,false
875147787,chat-webapp,Anamika1608/chat-webapp,JavaScript,2024-10-19T08:09:23Z,2024-12-06T11:31:46Z,2024-12-06T11:31:42Z,main,0,0,0,0,1796,false,false,false
898605541,wallet-app,Anamika1608/wallet-app,TypeScript,2024-12-04T17:36:04Z,2024-12-06T06:16:19Z,2024-12-05T17:50:26Z,main,0,0,0,0,733,false,false,false
859375848,Stamprino,Anamika1608/Stamprino,JavaScript,2024-09-18T14:57:49Z,2024-11-26T10:26:22Z,2024-11-25T05:03:03Z,main,0,0,2,0,30239,false,false,false
883159487,AMA,Anamika1608/AMA,TypeScript,2024-11-04T13:33:44Z,2024-11-18T13:56:58Z,2024-11-18T13:56:55Z,main,0,0,0,0,350,false,false,false
865428501,vxslift,Anamika1608/vxslift,HTML,2024-09-30T14:12:54Z,2024-11-02T14:58:41Z,2024-11-02T14:58:37Z,main,0,0,0,0,15065,false,false,true
866153675,vxslift-Backend,Anamika1608/vxslift-Backend,JavaScript,2024-10-01T18:29:55Z,2024-10-26T16:34:50Z,2024-10-26T16:34:46Z,main,0,0,0,0,4146,false,false,false
838301832,Notes-Fetcher,Anamika1608/Notes-Fetcher,JavaScript,2024-08-05T11:14:11Z,2024-11-25T04:58:01Z,2024-09-28T13:12:29Z,main,0,0,0,0,239,false,false,false
834041555,Exhale-A-Mental-Health-Platform,Anamika1608/Exhale-A-Mental-Health-Platform,JavaScript,2024-07-26T09:38:34Z,2024-08-28T13:15:26Z,2024-08-28T13:15:11Z,main,0,0,0,0,351570,false,false,true
841942774,Todo-with-redux,Anamika1608/Todo-with-redux,JavaScript,2024-08-13T11:02:19Z,2024-08-13T11:08:21Z,2024-08-13T11:08:16Z,main,0,0,0,0,18910,false,false,false
833967791,Exhale,Anamika1608/Exhale,JavaScript,2024-07-26T06:28:46Z,2024-08-09T05:37:58Z,2024-08-09T05:37:55Z,main,0,0,0,0,48657,false,false,false
827404622,NodeBrew,Anamika1608/NodeBrew,JavaScript,2024-07-11T15:38:18Z,2024-07-31T14:16:58Z,2024-07-31T14:16:54Z,main,0,0,0,0,1316,false,false,false
832610743,Narratives,Anamika1608/Narratives,JavaScript,2024-07-23T11:16:18Z,2024-07-23T18:23:27Z,2024-07-23T18:23:24Z,main,0,0,0,0,62,false,false,false
826948771,ToDo,Anamika1608/ToDo,JavaScript,2024-07-10T17:47:14Z,2024-07-21T15:52:27Z,2024-07-21T15:52:24Z,main,0,0,0,0,53,false,false,false
823046784,AccessSphere,Anamika1608/AccessSphere,JavaScript,2024-07-02T10:19:34Z,2024-07-02T13:42:59Z,2024-07-02T13:42:56Z,main,0,0,0,0,53,false,false,false
806647420,WanderLust,Anamika1608/WanderLust,JavaScript,2024-05-27T15:49:02Z,2024-08-22T12:17:55Z,2024-06-05T12:57:43Z,main,0,0,0,0,3691,false,false,false
799298354,GreenReceipts,Anamika1608/GreenReceipts,HTML,2024-05-11T17:55:24Z,2024-05-30T18:41:26Z,2024-05-30T18:41:23Z,main,0,0,0,0,562,false,false,false
724179617,-IncludeHer-Projects,Anamika1608/-IncludeHer-Projects,,2023-11-27T14:57:32Z,2023-11-27T14:57:32Z,2023-11-27T15:01:06Z,master,0,0,0,0,16,false,false,true
909969427,mediasoup,Anamika1608/mediasoup,,2024-12-30T07:13:04Z,2024-12-30T07:13:05Z,2022-04-05T17:12:08Z,main,0,0,0,0,251,false,false,true
